mom,chi,EI,eps_sup,eps_inf,hor_0,mom_0,VR,sig_c_max,sig_c_min,sig_s_max,sig_s_min
-4631.633229588355,-0.008586082655943971,539434.9687959234,0.022320857996389817,-0.0034373899714420946,-4.689582056016661e-13,9.094947017729282e-13,,,,,
-4585.08415190405,-0.006317373380176425,725789.640088679,0.016339890262108095,-0.002612229878421179,2.7853275241795927e-12,2.7284841053187847e-12,,,,,
-4538.535074219745,-0.005414185980592376,838267.301952412,0.013930810615966389,-0.0023117473258107385,-4.689582056016661e-13,-9.094947017729282e-13,,,,,
-4491.98599653544,-0.004759635840955507,943766.7390187699,0.012184833164725888,-0.002094074358140632,1.3926637620897964e-12,1.8189894035458565e-12,,,,,
-4445.436918851135,-0.004245570862785374,1047076.3679432818,0.010815500525804649,-0.0019212120625514727,1.3926637620897964e-12,9.094947017729282e-13,,,,,
-4398.887841166829,-0.003847008982035908,1143456.607901876,0.009756722188058627,-0.0017843047580490972,3.254285729781259e-12,4.547473508864641e-12,,,,,
-4352.338763482525,-0.003512818960095391,1238987.4949218382,0.008870903924437117,-0.0016675529558490563,4.547473508864641e-13,0.0,,,,,
-4305.78968579822,-0.0032404061606592094,1328780.8602740944,0.008151107264966088,-0.00157011121701154,1.3926637620897964e-12,0.0,,,,,
-4259.240608113914,-0.003009098797511468,1415453.893250802,0.007541753192927622,-0.001485543199606782,-4.689582056016661e-13,0.0,,,,,
-4212.691530429609,-0.002808404133655195,1500030.3837847956,0.007014373323191974,-0.001410839077773611,4.547473508864641e-13,3.637978807091713e-12,,,,,
-4166.142452745305,-0.002641666854639544,1577088.5134241409,0.006578150198878092,-0.0013468503650405402,-7.105427357601002e-13,-9.094947017729282e-13,,,,,
-4119.593375060999,-0.002485253473354909,1657614.9753851274,0.00616931476992189,-0.001286445650142837,6.963318810448982e-13,0.0,,,,,
-4073.044297376694,-0.0023612685119499257,1724939.0642206934,0.005847335963407579,-0.0012364695724421985,-4.689582056016661e-13,0.0,,,,,
-4026.495219692389,-0.002238521916048409,1798729.41641788,0.005528431197805735,-0.0011871345503394915,0.0,-4.547473508864641e-13,,,,,
-3979.946142008084,-0.0021394876756960263,1860233.2638879598,0.005272793305976554,-0.0011456697211115246,-4.689582056016661e-13,1.3642420526593924e-12,,,,,
-3933.397064323779,-0.0020455933014138857,1922863.6804809,0.005030730999283065,-0.0011060489049585919,2.2737367544323206e-13,4.547473508864641e-13,,,,,
-3886.8479866394737,-0.0019589981503325368,1984099.875734792,0.004807974971984208,-0.0010690194790134028,-2.4158453015843406e-13,-9.094947017729282e-13,,,,,
-3840.298908955169,-0.0018857330648511226,2036501.8679132923,0.004620620241104397,-0.0010365789534489715,6.963318810448982e-13,9.094947017729282e-13,,,,,
-3793.7498312708635,-0.0018128300728787348,2092722.2512623433,0.004434104920425762,-0.0010043852982104422,-2.4158453015843406e-13,3.183231456205249e-12,,,,,
-3747.2007535865587,-0.0017505407190514634,2140596.167118576,0.004275665852625235,-0.0009759563045291551,1.1652900866465643e-12,-9.094947017729282e-13,,,,,
-3700.6516759022534,-0.0016925849661222371,2186390.4914508117,0.004128635023899495,-0.0009491198744672164,9.237055564881302e-13,0.0,,,,,
-3654.1025982179485,-0.0016348408588982661,2235142.6919195554,0.003982072185206928,-0.0009224503914878704,4.547473508864641e-13,1.3642420526593924e-12,,,,,
-3607.5535205336437,-0.0015875651419029113,2272381.4130924437,0.0038631204082066875,-0.0008995750175020465,-1.1652900866465643e-12,-9.094947017729282e-13,,,,,
-3561.0044428493384,-0.0015409343352387288,2310938.475063346,0.003745797639416559,-0.000877005366299627,6.963318810448982e-13,0.0,,,,,
-3514.455365165033,-0.0014948586970210743,2351028.4765834874,0.003629865744985204,-0.0008547103460780184,-2.1032064978498966e-12,1.3642420526593924e-12,,,,,
-3467.906287480728,-0.001456709980069984,2380642.9110303214,0.0035347607709775635,-0.0008353691692323883,4.646949491871055e-12,-9.094947017729282e-13,,,,,
-3421.3572097964234,-0.0014186448036518698,2411708.1322887726,0.003439814593204098,-0.0008161198177515107,2.3163693185779266e-12,2.2737367544323206e-12,,,,,
-3374.808132112118,-0.0013807234323096682,2444231.808586571,0.0033451871652531127,-0.0007969831316758917,-6.295408638834488e-12,3.637978807091713e-12,,,,,
-3328.2590544278128,-0.0013492010790576677,2466836.934901055,0.003267310041463606,-0.000780293195709397,-4.689582056016661e-13,0.0,,,,,
-3281.709976743508,-0.0013177348169274258,2490417.597370236,0.0031895307212358483,-0.0007636737295464285,4.547473508864641e-13,4.547473508864641e-13,,,,,
-3235.160899059203,-0.0012863241182387221,2515043.3340928825,0.003111848906412594,-0.0007471234483035726,3.723243935382925e-12,-9.094947017729282e-13,,,,,
-3188.6118213748978,-0.0012591014476606684,2532450.2861140687,0.0030450806116844825,-0.0007322237312975229,-2.4158453015843406e-13,-9.094947017729282e-13,,,,,
-3142.0627436905925,-0.0012327997439807207,2548721.1195752244,0.002980681915755315,-0.0007177173161868472,-2.5721647034515627e-12,-9.094947017729282e-13,,,,,
-3095.5136660062876,-0.001206536871433011,2565618.7882014145,0.0029163453451420377,-0.0007032652691569955,-1.4068746168049984e-12,2.7284841053187847e-12,,,,,
-3048.964588321983,-0.0011822857701735588,2578872.7778347502,0.0028572160512096486,-0.0006896412593110278,0.0,-4.547473508864641e-13,,,,,
-3002.4155106376775,-0.0011600813550421921,2588107.719849079,0.0028033896545470805,-0.000676854410579496,1.1652900866465643e-12,-9.094947017729282e-13,,,,,
-2955.866432953372,-0.001137905016275733,2597638.986272926,0.002749604270536647,-0.0006641107782905515,1.8616219676914625e-12,0.0,,,,,
-2909.3173552690673,-0.0011158186133951385,2607338.9709970783,0.0026960209462619463,-0.0006514348939234692,1.3926637620897964e-12,-1.3642420526593924e-12,,,,,
-2862.7682775847625,-0.00109674704987865,2610235.6764046135,0.0026502109195097596,-0.00064003023012619,4.547473508864641e-13,9.094947017729282e-13,,,,,
-2816.219199900457,-0.001077382382660764,2613945.8424643665,0.002603552794007716,-0.0006285943539745752,1.6200374375330284e-12,3.183231456205249e-12,,,,,
-2769.670122216152,-0.0010577063955968472,2618562.3285876703,0.0025559959641770235,-0.0006171232226135184,-1.4068746168049984e-12,4.547473508864641e-13,,,,,
-2723.121044531847,-0.0010376990236563397,2624191.583930484,0.0025074848009390464,-0.0006056122700299732,-2.1032064978498966e-12,-4.547473508864641e-13,,,,,
-2676.571966847542,-0.0010173380857058315,2630956.2223757016,0.0024579579457815275,-0.0005940563113359669,2.0889956431346945e-12,4.547473508864641e-13,,,,,
-2630.022889163237,-0.0009965989677117922,2638998.2072747005,0.0024073474727200313,-0.0005824494304153456,-1.1652900866465643e-12,-1.3642420526593924e-12,,,,,
-2583.473811478932,-0.0009754542438843518,2648482.824977308,0.0023555778937957832,-0.0005707848378572721,-2.4158453015843406e-13,1.3642420526593924e-12,,,,,
-2536.9247337946267,-0.0009538732218871572,2659603.6827363037,0.002302564967427444,-0.0005590546982340276,6.963318810448982e-13,9.094947017729282e-13,,,,,
-2490.375656110322,-0.0009318213934907087,2672589.0535535915,0.002248214268528662,-0.0005472499119434639,1.6200374375330284e-12,0.0,,,,,
-2443.8265784260166,-0.000909259765586411,2687710.0152451084,0.0021924194512458503,-0.0005353598455133828,-2.4158453015843406e-13,4.547473508864641e-13,,,,,
-2397.2775007417117,-0.0008861440413020016,2705291.0012455974,0.0021350601365748467,-0.0005233719873311581,-2.4158453015843406e-13,0.0,,,,,
-2350.7284230574064,-0.0008624236103106381,2725723.640857528,0.0020759993207687113,-0.000511271510163203,1.1368683772161603e-13,4.547473508864641e-13,,,,,
-2304.1793453731016,-0.0008380402949833558,2749485.149062987,0.002015080179792635,-0.0004990407051574324,1.1368683772161603e-13,-4.547473508864641e-13,,,,,
-2257.6302676887963,-0.0008129267841587624,2777163.0996573083,0.0019521221040086768,-0.00048665824846761037,4.547473508864641e-13,-1.8189894035458565e-12,,,,,
-2211.0811900044914,-0.0007870046643819596,2809489.3080981537,0.0018869157568773742,-0.00047409823626850444,1.1368683772161603e-13,4.547473508864641e-13,,,,,
-2164.532112320186,-0.0007601819344158177,2847386.9403165695,0.0018192169003221458,-0.000461328902925307,0.0,0.0,,,,,
-2117.9830346358813,-0.0007323498662194116,2892037.1701158127,0.001748738698468231,-0.00044831090019000386,-2.4158453015843406e-13,-4.547473508864641e-13,,,,,
-2071.433956951576,-0.0007033790456300163,2944975.358337827,0.0016751421645758195,-0.00043499497231422947,-1.2789769243681803e-13,0.0,,,,,
-2024.8848792672711,-0.0006731144646906699,3008232.6045360025,0.0015980246155856582,-0.0004213187784863516,2.8990143619012088e-12,-1.3642420526593924e-12,,,,,
-1978.3358015829658,-0.0006413696141709274,3084548.6874838634,0.0015169062778138136,-0.0004072025646989685,2.2737367544323206e-13,0.0,,,,,
-1931.786723898661,-0.0006079183734829049,3177707.416262167,0.0014312112597836704,-0.0003925438606650444,-1.2789769243681803e-13,4.547473508864641e-13,,,,,
-1885.2376462143557,-0.0005724906004386407,3293045.5884688618,0.001340262398293569,-0.0003772094030223531,-1.2789769243681803e-13,-2.2737367544323206e-13,,,,,
-1838.6885685300508,-0.0005347753492860888,3438244.8087494164,0.0012433023952353678,-0.00036102365262289857,0.0,0.0,,,,,
-1792.1394908457455,-0.0004944386771163607,3624594.057442608,0.0011395524935758653,-0.00034376353777321677,0.0,0.0,,,,,
-1745.5904131614407,-0.0004511976047061521,3868793.6171520185,0.0010284304432255232,-0.0003251623708929331,-5.826450433232822e-13,-2.2737367544323206e-13,,,,,
-1699.0413354771354,-0.00040501033240711304,4195056.766525337,0.0009100753138118632,-0.000304955683409476,-3.552713678800501e-13,-2.2737367544323206e-13,,,,,
-1652.4922577928305,-0.0003565346334220481,4634871.630652195,0.0007865628491232575,-0.00028304105114288695,3.410605131648481e-13,-4.547473508864641e-13,,,,,
-1605.9431801085257,-0.00030773884060282357,5218526.1274224445,0.0006634126017999357,-0.000259803920008535,1.1368683772161603e-13,2.2737367544323206e-13,,,,,
-1559.3941024242204,-0.00026193252981180027,5953419.010401848,0.0005494130788680221,-0.00023638451056737865,4.547473508864641e-13,-2.2737367544323206e-13,,,,,
-1512.8450247399155,-0.00022220183995878056,6808427.081524415,0.000452315395780568,-0.00021429012409577362,1.1368683772161603e-13,-2.2737367544323206e-13,,,,,
-1466.2959470556102,-0.00018968627161475011,7730111.06483043,0.0003745207807331865,-0.00019453803411106392,-2.4158453015843406e-13,2.2737367544323206e-13,,,,,
-1419.7468693713054,-0.00016373694429679984,8670901.215780497,0.00031384772281513003,-0.0001773631100752695,0.0,-2.2737367544323206e-13,,,,,
-1373.197791687,-0.00014305065475319538,9599381.38036608,0.00026661709774541736,-0.00016253486651416878,2.2737367544323206e-13,0.0,,,,,
-1326.6487140026952,-0.0001263908877218794,10496395.253761956,0.00022948480797410138,-0.00014968785519153683,4.547473508864641e-13,-2.2737367544323206e-13,,,,,
-1280.09963631839,-0.00011278564775897668,11349845.142122757,0.00019988476242871917,-0.0001384721808482109,4.533262654149439e-12,4.547473508864641e-13,,,,,
-1233.550558634085,-0.00010151581670833122,12151313.939366158,0.0001759515244148665,-0.00012859592571012716,2.2737367544323206e-13,2.2737367544323206e-13,,,,,
-1187.0014809497798,-9.205656811978254e-05,12894261.704447556,0.00015634338825443178,-0.00011982631610491587,2.2737367544323206e-13,-2.2737367544323206e-13,,,,,
-1140.452403265475,-8.402312506877752e-05,13573077.677507855,0.00014008971244037078,-0.0001119796627659618,0.0,-2.2737367544323206e-13,,,,,
-1093.9033255811696,-7.712899870181e-05,14182776.180076338,0.00012647641900059321,-0.00010491057710483676,5.684341886080802e-14,0.0,,,,,
-1047.3542478968648,-7.115786149374045e-05,14718742.608488837,0.00011497053123628598,-9.850305324493535e-05,0.0,0.0,,,,,
-1000.8051702125595,-6.621741561185817e-05,15113926.766319403,0.00010578862328251472,-9.286362355305978e-05,-1.2789769243681803e-13,2.2737367544323206e-13,,,,,
-954.2560925282546,-6.181335361023803e-05,15437701.350832436,9.780123204583397e-05,-8.76388287848801e-05,3.410605131648481e-13,-2.2737367544323206e-13,,,,,
-907.7070148439493,-5.7706749731099936e-05,15729650.674724419,9.047004687342703e-05,-8.265020231987277e-05,0.0,1.1368683772161603e-13,,,,,
-861.1579371596445,-5.38319093583443e-05,15997165.016517462,8.364881239201673e-05,-7.784691568301617e-05,5.684341886080802e-14,0.0,,,,,
-814.6088594753392,-5.014445803756429e-05,16245242.073712276,7.723883765334615e-05,-7.319453645934673e-05,-5.684341886080802e-14,0.0,,,,,
-768.0597817910343,-4.661273880762212e-05,16477465.204542777,7.116977750617157e-05,-6.86684389166948e-05,1.1368683772161603e-13,1.1368683772161603e-13,,,,,
-721.510704106729,-4.321322286335574e-05,16696526.116281895,6.538940186029453e-05,-6.42502667297727e-05,0.0,0.0,,,,,
-674.9616264224242,-3.992785148751287e-05,16904531.580756687,5.985766441515186e-05,-5.992589004738676e-05,-1.2789769243681803e-13,1.1368683772161603e-13,,,,,
-628.4125487381189,-3.674240289491479e-05,17103196.830523357,5.454306327471719e-05,-5.568414541002719e-05,5.684341886080802e-14,2.2737367544323206e-13,,,,,
-581.863471053814,-3.3645436024482945e-05,17293979.20806871,4.94202820051867e-05,-5.1516026068262145e-05,1.9895196601282805e-13,0.0,,,,,
-535.3143933695092,-3.062758414486315e-05,17478178.848111726,4.446862203813743e-05,-4.7414130396452015e-05,2.842170943040401e-14,-1.1368683772161603e-13,,,,,
-488.76531568520386,-2.7681063190693947e-05,17657028.28385295,3.967090693482645e-05,-4.337228263725539e-05,5.684341886080802e-14,1.1368683772161603e-13,,,,,
-442.21623800089856,-2.4799319003721917e-05,17831789.57190438,3.5012690103086305e-05,-3.938526690807944e-05,4.391154106997419e-12,-4.718003765447065e-12,,,,,
-395.66716031659325,-2.1976781663523978e-05,18003871.830482934,3.0481736024679492e-05,-3.5448608965892446e-05,-9.947598300641403e-14,-5.684341886080802e-14,,,,,
-349.11808263228886,-1.9208677674333265e-05,18175019.04874911,2.6067609240901258e-05,-3.1558423782098536e-05,-1.4210854715202004e-14,-5.684341886080802e-14,,,,,
-302.56900494798356,-1.6490890547972997e-05,18347644.96603698,2.1761358949430052e-05,-2.7711312694488937e-05,-4.263256414560601e-14,0.0,,,,,
-256.01992726367826,-1.3819882417050541e-05,18525477.969900005,1.7555388221567812e-05,-2.3904259029583814e-05,1.4210854715202004e-14,0.0,,,,,
-209.47084957937295,-1.1192674293393144e-05,18714995.54874211,1.3443451858523612e-05,-2.0134571021655816e-05,-2.842170943040401e-14,0.0,,,,,
-162.92177189506856,-8.60707947997303e-06,18928809.97255286,9.421392521937337e-06,-1.6399845917981757e-05,2.842170943040401e-14,2.842170943040401e-14,,,,,
-116.37269421076326,-6.062724110530212e-06,19194786.384661324,5.489648959861768e-06,-1.2698523371728869e-05,0.0,0.0,,,,,
